State,City,percent_completed_hs
AL,Abanda,21.2
AL,Abbeville,69.1
AL,Adamsville,78.9
AL,Addison,81.4
AL,Akron,68.6
AL,Alabaster,89.3
AL,Albertville,72.7
AL,Alexander,78.1
AL,Alexandria,88.8
AL,Aliceville,74.3
AL,Allgood,48.1
AL,Altoona,66.9
AL,Andalusia,81.1
AL,Anderson,85.7
AL,Anniston,79.8
AL,Arab,87.6
AL,Ardmore,77.7
AL,Argo,87.5
AL,Ariton,71.3
AL,Arley,80.6
AL,Ashford,83.5
AL,Ashland,77.9
AL,Ashville,77.6
AL,Athens,83.4
AL,Atmore,73.7
AL,Attalla,76
AL,Auburn,94.3
AL,Autaugaville,71.2
AL,Avon,82.8
AL,Axis,79.9
AL,Babbie,81.2
AL,Baileyton,74.7
AL,Bakerhill,72.4
AL,Ballplay,80.3
AL,Banks,73
AL,Bay Minette,79.1
AL,Bayou La Batre,58.5
AL,Bear Creek,76.7
AL,Beatrice,89.1
AL,Beaverton,87.9
AL,Belgreen,87
AL,Belk,63.8
AL,Bellamy,86.5
AL,Belle Fontaine,91.9
AL,Benton,100
AL,Berry,65.4
AL,Bessemer,81.5
AL,Billingsley,71.3
AL,Birmingham,85.1
AL,Black,90
AL,Blountsville,73.1
AL,Blue Ridge,97.6
AL,Blue Springs,95.6
AL,Boaz,76.6
AL,Boligee,79.9
AL,Bon Air,85.7
AL,Bon Secour,79
AL,Boykin,53.7
AL,Brantley,75.1
AL,Brantleyville,85.1
AL,Brent,73.8
AL,Brewton,84.5
AL,Bridgeport,74.9
AL,Brighton,78.6
AL,Brilliant,75.9
AL,Bristow Cove,65.1
AL,Brook Highland,96.2
AL,Brookside,78.7
AL,Brookwood,83.1
AL,Broomtown,66.2
AL,Brundidge,77.2
AL,Bucks,100
AL,Butler,80.2
AL,Calera,89.1
AL,Calvert,22.8
AL,Camden,82.8
AL,Camp Hill,76.6
AL,Carbon Hill,65.4
AL,Cardiff,72.7
AL,Carlisle-Rockledge,73.1
AL,Carlton,77
AL,Carolina,87.8
AL,Carrollton,71
AL,Castleberry,75.9
AL,Catherine,100
AL,Cedar Bluff,77.9
AL,Center Point,87.1
AL,Centre,76.7
AL,Centreville,81.6
AL,Chatom,76
AL,Chelsea,93.5
AL,Cherokee,80.9
AL,Chickasaw,79.9
AL,Childersburg,78.8
AL,Choccolocco,89.4
AL,Chunchula,91.2
AL,Citronelle,82.5
AL,Clanton,76.8
AL,Clay,92.2
AL,Clayhatchee,85.3
AL,Clayton,57.8
AL,Cleveland,74.4
AL,Clio,63.1
AL,Coaling,88.2
AL,Coats Bend,90.9
AL,Coffee Springs,78
AL,Coffeeville,71.7
AL,Coker,89.2
AL,Collinsville,52
AL,Colony,77
AL,Columbia,79
AL,Columbiana,74.4
AL,Concord,91.3
AL,Coosada,84.3
AL,Cordova,79.8
AL,Cottondale,74.9
AL,Cottonwood,76.3
AL,County Line,83.9
AL,Courtland,79.6
AL,Cowarts,86
AL,Creola,84.4
AL,Crossville,70.4
AL,Cuba,92.1
