State,City,poverty_rate
AL,Abanda,78.8
AL,Abbeville,29.1
AL,Adamsville,25.5
AL,Addison,30.7
AL,Akron,42
AL,Alabaster,11.2
AL,Albertville,26.7
AL,Alexander,30.4
AL,Alexandria,9.7
AL,Aliceville,41.3
AL,Allgood,27.7
AL,Altoona,27.5
AL,Andalusia,24.5
AL,Anderson,13.8
AL,Anniston,31.7
AL,Arab,16.7
AL,Ardmore,19.1
AL,Argo,8.6
AL,Ariton,37.6
AL,Arley,31.6
AL,Ashford,18.8
AL,Ashland,22.4
AL,Ashville,28.3
AL,Athens,13
AL,Atmore,24.7
AL,Attalla,20.3
AL,Auburn,31.8
AL,Autaugaville,24.1
AL,Avon,22.2
AL,Axis,6.8
AL,Babbie,15.7
AL,Baileyton,28.6
AL,Bakerhill,19.1
AL,Ballplay,7.1
AL,Banks,38.2
AL,Bay Minette,26.3
AL,Bayou La Batre,30.1
AL,Bear Creek,25.3
AL,Beatrice,44.9
AL,Beaverton,8.1
AL,Belgreen,28.8
AL,Belk,39.1
AL,Bellamy,42.9
AL,Belle Fontaine,36.7
AL,Benton,0
AL,Berry,30.9
AL,Bessemer,32.9
AL,Billingsley,20.5
AL,Birmingham,30.9
AL,Black,12.7
AL,Blountsville,41.2
AL,Blue Ridge,0.5
AL,Blue Springs,4
AL,Boaz,19.4
AL,Boligee,60.3
AL,Bon Air,47.6
AL,Bon Secour,18.2
AL,Boykin,53.7
AL,Brantley,20.7
AL,Brantleyville,19.2
AL,Brent,17.3
AL,Brewton,27.8
AL,Bridgeport,34.7
AL,Brighton,33
AL,Brilliant,22.5
AL,Bristow Cove,39.7
AL,Brook Highland,11.5
AL,Brookside,19.2
AL,Brookwood,10.8
AL,Broomtown,23.8
AL,Brundidge,32.4
AL,Bucks,0
AL,Butler,25.3
AL,Calera,5.8
AL,Calvert,79.4
AL,Camden,31.9
AL,Camp Hill,36.6
AL,Carbon Hill,32.2
AL,Cardiff,30
AL,Carlisle-Rockledge,17.2
AL,Carlton,18.9
AL,Carolina,7.4
AL,Carrollton,29.1
AL,Castleberry,39.6
AL,Catherine,0
AL,Cedar Bluff,25.8
AL,Center Point,25
AL,Centre,25.1
AL,Centreville,22.4
AL,Chatom,19.8
AL,Chelsea,4.9
AL,Cherokee,19.9
AL,Chickasaw,33.6
AL,Childersburg,38.6
AL,Choccolocco,14.7
AL,Chunchula,0
AL,Citronelle,16.9
AL,Clanton,16.9
AL,Clay,6.6
AL,Clayhatchee,16.4
AL,Clayton,29.3
AL,Cleveland,15
AL,Clio,31.4
AL,Coaling,19.5
AL,Coats Bend,15
AL,Coffee Springs,21.2
AL,Coffeeville,41.3
AL,Coker,10
AL,Collinsville,32.1
AL,Colony,24.8
AL,Columbia,20.1
AL,Columbiana,24
AL,Concord,7.9
AL,Coosada,23.5
AL,Cordova,32.8
AL,Cottondale,12.8
AL,Cottonwood,29.8
AL,County Line,10.7
AL,Courtland,25.8
AL,Cowarts,11.7
AL,Creola,18.1
AL,Crossville,38.1
AL,Cuba,21
AL,Cullman,21.9
AL,Cullomburg,8.5
AL,Cusseta,9.3
AL,Dadeville,28.8
AL,Daleville,24.5
AL,Daphne,11.2
AL,Dauphin Island,3.6
AL,Daviston,12.9
AL,Dayton,48
AL,Deatsville,5.1
AL,Decatur,21.2
AL,Deer Park,28.1
AL,Delta,0
AL,Demopolis,31
AL,Detroit,27.9
AL,Dodge,16.7
AL,Dora,17.2
AL,Dothan,19.1
AL,Double Springs,27.5
AL,Douglas,34.9
AL,Dozier,30.3
AL,Dunnavant,7.7
AL,Dutton,24.2
AL,East Brewton,30.6
AL,East Point,0
AL,Eclectic,13.4
AL,Edgewater,26.5
AL,Edwardsville,5.1
AL,Egypt,4.5
AL,Elba,31.1
AL,Elberta,15.8
AL,Eldridge,37.8
AL,Elkmont,11.2
AL,Elmore,30
AL,Emelle,0
AL,Emerald Mountain,8.2
AL,Enterprise,16.3
AL,Epes,24.8
AL,Ethelsville,32.3
AL,Eufaula,25.3
AL,Eunola,0
AL,Eutaw,32.7
AL,Eva,11.1
