year,race,est pop
2015,White,197667150
2015,Black,42630000
2015,Hispanic,50112850
2015,Asian,17980000
2015,Other,13020000
2016,White,197426320
2016,Black,43000000
2016,Hispanic,51073680
2016,Asian,18320000
2016,Other,13300000
2017,White,197386320
2017,Black,43500000
2017,Hispanic,52233680
2017,Asian,18990000
2017,Other,13610000
2018,White,196956340
2018,Black,43800000
2018,Hispanic,53183660
2018,Asian,19330000
2018,Other,13900000
2019,White,198948620
2019,Black,44300000
2019,Hispanic,52251380
2019,Asian,19750000
2019,Other,14170000
2020,White,197617860
2020,Black,45800000
2020,Hispanic,54582140
2020,Asian,20250000
2020,Other,14440000
